title,author,avg_rating,user_rating,cover_url,user_id
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","",4.47,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SY75_.jpg,2562832
"Twilight (The Twilight Saga, #1)","",3.64,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865._SY75_.jpg,2562832
The Girl on the Train,"",3.96,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682l/22557272._SX50_.jpg,2562832
The Help,"",4.47,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533l/4667024._SY75_.jpg,2562832
The Seven Husbands of Evelyn Hugo,"",4.44,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664458703l/32620332._SY75_.jpg,2562832
The Lovely Bones,"",3.85,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586l/12232938._SY75_.jpg,2562832
"The Da Vinci Code (Robert Langdon, #2)","",3.91,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968._SY75_.jpg,2562832
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)","",4.2,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546406962l/16096824._SY75_.jpg,2562832
The Silent Patient,"",4.18,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668782119l/40097951._SY75_.jpg,2562832
The Time Traveler's Wife,"",3.99,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437728815l/14050._SY75_.jpg,2562832
"Eragon (The Inheritance Cycle, #1)","",3.94,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852l/113436._SX50_.jpg,2562832
The Midnight Library,"",4.01,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602190253l/52578297._SY75_.jpg,2562832
Where the Sidewalk Ends,"",4.33,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1168052448l/30119._SX50_.jpg,2562832
The Nightingale,"",4.61,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681839850l/21853621._SY75_.jpg,2562832
Eleanor Oliphant Is Completely Fine,"",4.24,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493724347l/31434883._SY75_.jpg,2562832
The Martian,"",4.41,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413706054l/18007564._SY75_.jpg,2562832
A Man Called Ove,"",4.38,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405259930l/18774964._SY75_.jpg,2562832
Big Little Lies,"",4.31,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594851437l/19486412._SY75_.jpg,2562832
The Last Thing He Told Me,"",3.85,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603034599l/54981009._SY75_.jpg,2562832
The Great Alone,"",4.4,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501852423l/34912895._SY75_.jpg,2562832
The Hating Game,"",3.91,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467138679l/25883848._SY75_.jpg,2562832
The Husband's Secret,"",3.95,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374046340l/17317855._SY75_.jpg,2562832
The Four Winds,"",4.3,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594925043l/53138081._SY75_.jpg,2562832
The Memory Keeper's Daughter,"",3.69,1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631287935l/10441._SY75_.jpg,2562832
Then She Was Gone,"",4.06,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491412383l/34806691._SY75_.jpg,2562832
Anxious People,"",4.18,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597575031l/49127718._SY75_.jpg,2562832
"Maybe Someday (Maybe, #1)","",4.04,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383851050l/18143950._SY75_.jpg,2562832
"A Discovery of Witches (All Souls, #1)","",4.02,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525097370l/8667848._SY75_.jpg,2562832
The Light Between Oceans,"",4.04,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336683021l/13158800._SY75_.jpg,2562832
"Beartown (Beartown, #1)","",4.29,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482108618l/33413128._SY75_.jpg,2562832
"The Family Upstairs (The Family Upstairs, #1)","",3.97,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549110957l/42448022._SY75_.jpg,2562832
The 7 1/2 Deaths of Evelyn Hardcastle,"",3.84,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506896221l/36337550._SY75_.jpg,2562832
Under the Tuscan Sun: At Home in Italy,"",3.77,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320524083l/480479._SY75_.jpg,2562832
Mad Honey,"",4.13,3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1642705453l/59912428._SY75_.jpg,2562832
"Odd Thomas (Odd Thomas, #1)","",3.98,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388245669l/14995._SY75_.jpg,2562832
